"","SampleID","BarcodeSequence","LinkerPrimerSequence","FileInput","Source","Mouse","Cage","Genotype","SamplingWeek","Description"
"19","11CMK6WT",NA,NA,"11CMK6WT_S243_L001_R1_001.fastq","CJS",11,NA,"WT",6,"11CMK6WT"
"20","12CMK6WT",NA,NA,"12CMK6WT_S255_L001_R1_001.fastq","CJS",12,NA,"WT",6,"12CMK6WT"
"21","13CMK6HET",NA,NA,"13CMK6HET_S267_L001_R1_001.fastq","CJS",13,NA,"CMKLR1_HE",6,"13CMK6HET"
"22","14CMK6KO",NA,NA,"14CMK6KO_S279_L001_R1_001.fastq","CJS",14,NA,"CMKLR1_KO",6,"14CMK6KO"
"23","15CMK6HET",NA,NA,"15CMK6HET_S196_L001_R1_001.fastq","CJS",15,NA,"CMKLR1_HE",6,"15CMK6HET"
"24","16CMK6KO",NA,NA,"16CMK6KO_S208_L001_R1_001.fastq","CJS",16,NA,"CMKLR1_KO",6,"16CMK6KO"
"25","17CMK6WT",NA,NA,"17CMK6WT_S220_L001_R1_001.fastq","CJS",17,NA,"WT",6,"17CMK6WT"
"26","18CMK6KO",NA,NA,"18CMK6KO_S232_L001_R1_001.fastq","CJS",18,NA,"CMKLR1_KO",6,"18CMK6KO"
"27","19CMK6WT",NA,NA,"19CMK6WT_S244_L001_R1_001.fastq","CJS",19,NA,"WT",6,"19CMK6WT"
"28","1CMK6WT",NA,NA,"1CMK6WT_S218_L001_R1_001.fastq","CJS",1,NA,"WT",6,"1CMK6WT"
"29","20CMK6KO",NA,NA,"20CMK6KO_S256_L001_R1_001.fastq","CJS",20,NA,"CMKLR1_KO",6,"20CMK6KO"
"30","21CMK6WT",NA,NA,"21CMK6WT_S268_L001_R1_001.fastq","CJS",21,NA,"WT",6,"21CMK6WT"
"31","22CMK6KO",NA,NA,"22CMK6KO_S280_L001_R1_001.fastq","CJS",22,NA,"CMKLR1_KO",6,"22CMK6KO"
"32","23CMK6WT",NA,NA,"23CMK6WT_S197_L001_R1_001.fastq","CJS",23,NA,"WT",6,"23CMK6WT"
"33","24CMK6KO",NA,NA,"24CMK6KO_S209_L001_R1_001.fastq","CJS",24,NA,"CMKLR1_KO",6,"24CMK6KO"
"34","25CMK6KO",NA,NA,"25CMK6KO_S221_L001_R1_001.fastq","CJS",25,NA,"CMKLR1_KO",6,"25CMK6KO"
"35","26CMK6WT",NA,NA,"26CMK6WT_S233_L001_R1_001.fastq","CJS",26,NA,"WT",6,"26CMK6WT"
"36","27CMK6WT",NA,NA,"27CMK6WT_S245_L001_R1_001.fastq","CJS",27,NA,"WT",6,"27CMK6WT"
"37","28CMK6KO",NA,NA,"28CMK6KO_S257_L001_R1_001.fastq","CJS",28,NA,"CMKLR1_KO",6,"28CMK6KO"
